"","point_tp","point_fp","bcr"
"q=6",0.653333333333333,0.0117647058823529,0.82078431372549
"q=6.5",0.626666666666667,0.00470588235294118,0.810980392156863
"q=7",0.713333333333333,0.00823529411764706,0.852549019607843
"q=7.5",0.786666666666667,0.00588235294117647,0.890392156862745
"q=8",0.76,0.02,0.87
"q=8.5",0.9,0.0141176470588235,0.942941176470588
"q=9",0.98,0.0164705882352941,0.981764705882353
"q=9.5",0.96,0.00705882352941176,0.976470588235294
"q=10",0.98,0.00941176470588235,0.985294117647059
